ID_REF	VALUE
1553262_a_at	2.7047
1553263_at	3.3256
1553264_a_at	2.8253
1553265_at	2.9111
1553266_at	2.3556
1553267_a_at	2.7817
1553268_at	2.9058
1553269_at	7.4461
1553271_at	6.8513
1553272_at	2.3429
1553274_a_at	9.733
1553275_s_at	5.4732
1553276_at	2.1045
1553277_at	2.5601
1553279_at	3.3693
1553280_at	3.0233
1553281_at	2.3522
1553282_at	2.3549
1553284_s_at	2.8527
1553285_s_at	3.5595
1553286_at	4.9811
1553288_a_at	4.7687
1553292_s_at	8.6229
1553293_at	2.5382
1553295_at	2.2411
1553296_at	2.5072
1553297_a_at	3.3271
1553298_at	2.4321
1553299_at	3.2996
1553300_a_at	2.2481
1553301_a_at	2.2658
1553303_at	2.8751
1553304_at	3.6135
1553306_at	4.0826
1553310_at	2.8274
1553311_at	3.628
1553313_s_at	7.8655
1553314_a_at	2.9567
1553315_at	6.072
1553316_at	2.4172
1553317_s_at	2.0647
1553318_at	2.458
1553319_at	2.9055
1553320_s_at	1.7012
1553321_a_at	2.2284
1553322_s_at	3.2208
1553323_a_at	3.6357
1553325_at	2.3452
1553326_at	2.3778
1553327_a_at	2.2301
1553328_a_at	4.3461
1553329_at	2.2642
1553330_at	2.1294
1553333_at	4.0253
1553335_x_at	3.6616
1553336_a_at	1.8549
1553338_at	3.2724
1553340_s_at	2.7809
1553341_at	2.4141
1553344_at	2.0327
1553346_a_at	2.8233
1553347_s_at	2.7472
1553348_a_at	4.7217
1553349_at	5.9069
1553350_at	2.4309
1553351_at	1.9946
1553352_x_at	3.9369
1553354_a_at	3.7419
1553355_at	3.1378
1553356_at	2.3791
1553357_at	2.7603
1553359_at	4.0254
1553361_x_at	3.8741
1553362_at	2.0455
1553363_at	3.273
1553364_at	5.2142
1553365_at	3.0067
1553366_s_at	3.2235
1553367_a_at	2.8973
1553369_at	2.8966
1553371_at	1.8983
1553372_at	2.4374
1553373_at	2.219
1553374_at	2.37
1553375_at	2.2423
1553376_a_at	2.9643
1553378_a_at	1.8681
1553380_at	3.1637
1553383_at	3.0862
1553385_at	2.7032
1553386_at	3.8317
1553387_at	3.3337
1553388_at	2.1756
1553389_at	3.4321
1553390_at	2.3933
1553391_at	2.3472
1553392_at	4.6389
1553394_a_at	5.4434
1553395_a_at	3.1568
1553396_a_at	2.6882
1553397_at	2.6597
1553398_at	2.6356
1553399_a_at	5.8888
1553400_a_at	5.3089
1553401_at	3.1675
1553402_a_at	2.7905
1553403_at	2.6263
1553405_a_at	3.0854
1553407_at	4.5812
1553409_at	2.5498
1553410_a_at	2.5332
1553411_s_at	1.7716
1553412_at	3.0127
1553413_at	3.362
1553415_at	1.7429
1553417_at	2.0764
1553418_a_at	2.0246
1553420_at	2.3246
1553422_s_at	2.8319
1553423_a_at	4.1847
1553424_at	2.7892
1553425_at	2.685
1553426_at	2.9273
1553427_at	2.7975
1553428_at	2.1886
1553429_at	3.2313
1553430_a_at	1.6678
1553432_s_at	2.5171
1553433_at	3.923
1553434_at	3.5232
1553435_at	3.6566
1553436_at	2.265
1553437_at	2.6449
1553438_at	2.8923
1553439_at	2.3606
1553440_at	2.3414
1553441_at	2.0664
1553442_a_at	2.6679
1553443_at	2.2713
1553444_a_at	3.2928
1553446_at	1.9725
1553447_at	2.298
1553448_at	1.7741
1553449_at	2.273
1553450_s_at	1.9442
1553451_at	1.7782
1553452_at	3.142
1553453_at	3.6995
1553454_at	5.1714
1553456_at	2.3961
1553457_at	2.0651
1553458_at	2.7136
1553459_at	3.4292
1553460_at	2.3033
1553461_at	1.9179
1553462_at	3.4341
1553464_at	2.3899
1553465_a_at	3.052
1553466_at	3.1744
1553467_at	2.1932
1553468_at	2.1555
1553470_at	2.2277
1553471_at	2.4732
1553472_at	2.6842
1553474_at	2.3925
1553475_at	2.7756
1553478_at	2.3623
