ID_REF	VALUE
1552876_at	2.2336
1552877_s_at	2.389
1552878_at	2.0741
1552879_a_at	2.8729
1552880_at	3.4835
1552882_a_at	6.4173
1552884_at	2.5431
1552885_a_at	3.0161
1552887_at	3.4145
1552889_a_at	4.1185
1552890_a_at	3.0013
1552892_at	3.1551
1552893_at	2.7943
1552895_a_at	2.5402
1552897_a_at	2.6769
1552898_a_at	2.6938
1552899_at	2.4151
1552900_a_at	2.1507
1552902_a_at	2.5319
1552903_at	2.9828
1552904_at	2.2898
1552906_at	2.895
1552908_at	4.5235
1552910_at	2.451
1552911_at	3.0779
1552912_a_at	2.2663
1552913_at	2.1114
1552914_a_at	3.4906
1552915_at	2.7916
1552917_at	2.7708
1552919_at	2.7013
1552921_a_at	3.6966
1552922_at	2.1985
1552923_a_at	2.7226
1552924_a_at	3.6565
1552925_at	2.2328
1552927_at	3.2594
1552928_s_at	3.054
1552929_at	2.2139
1552930_at	4.284
1552931_a_at	4.5879
1552932_at	2.4238
1552933_at	2.8088
1552935_at	3.3905
1552937_s_at	4.7901
1552938_at	2.5274
1552939_at	2.6897
1552940_at	3.0379
1552942_at	2.7437
1552943_at	1.9272
1552944_a_at	3.0331
1552946_at	3.5967
1552947_x_at	3.7628
1552948_at	2.7895
1552950_at	2.1953
1552952_at	2.9803
1552953_a_at	2.9512
1552954_at	2.3759
1552955_at	2.4525
1552957_at	2.8928
1552960_at	3.7293
1552961_at	2.4425
1552964_at	2.3149
1552965_a_at	2.4603
1552967_at	1.9933
1552969_a_at	3.1499
1552970_s_at	2.5909
1552971_at	2.4219
1552972_at	2.0241
1552973_at	2.4487
1552974_at	3.4417
1552975_x_at	4.3265
1552976_at	2.5554
1552977_a_at	5.1053
1552978_a_at	3.867
1552979_at	3.311
1552980_at	11.0627
1552982_a_at	2.3574
1552985_at	2.9707
1552986_at	3.7594
1552987_a_at	1.79
1552988_at	2.0921
1552990_at	2.4596
1552991_at	2.4602
1552993_at	2.1256
1552995_at	2.6753
1552997_a_at	2.6711
1552998_at	1.9503
1552999_a_at	3.8746
1553002_at	2.9849
1553003_at	2.9927
1553004_at	2.1882
1553006_at	1.8964
1553007_a_at	3.3547
1553009_s_at	2.4943
1553011_at	2.5829
1553013_at	1.9505
1553015_a_at	3.7905
1553016_at	2.1646
1553019_at	2.6625
1553020_at	3.0268
1553021_s_at	2.6197
1553022_at	2.5581
1553023_a_at	3.578
1553024_at	2.1111
1553025_at	3.7104
1553027_a_at	2.6007
1553028_at	3.4028
1553030_a_at	5.5376
1553031_at	4.6813
1553032_at	2.3771
1553033_at	2.1734
1553034_at	4.3432
1553036_at	3.1151
1553037_a_at	3.82
1553039_a_at	3.4233
1553041_at	2.5679
1553042_a_at	3.2314
1553043_a_at	2.6974
1553044_at	2.3149
1553045_at	2.9026
1553046_s_at	3.0938
1553047_at	3.4495
1553048_a_at	3.8046
1553051_s_at	3.4612
1553052_at	3.0263
1553053_at	2.4119
1553055_a_at	4.3842
1553057_at	3.515
1553058_at	3.1628
1553059_at	3.282
1553060_at	2.7794
1553061_at	2.2206
1553062_at	5.5467
1553063_at	3.1179
1553064_at	3.6769
1553066_at	2.3489
1553067_a_at	6.078
1553069_at	2.7789
1553070_a_at	2.2617
1553071_a_at	3.0393
1553072_at	4.818
1553074_at	2.0188
1553075_a_at	2.1217
1553076_at	2.3811
1553077_at	4.7035
1553078_at	2.3633
1553079_at	2.4044
1553080_at	2.4732
1553081_at	6.9824
1553082_at	2.9514
1553083_at	1.8964
1553084_at	2.3429
1553086_at	2.3333
1553087_at	2.4158
1553088_a_at	2.2986
1553089_a_at	3.0434
1553093_a_at	2.6476
1553094_at	3.5934
1553096_s_at	3.7364
1553099_at	6.0116
1553101_a_at	7.4029
1553102_a_at	7.2153
1553103_at	9.8093
1553105_s_at	3.6825
1553106_at	3.6486
1553107_s_at	5.5273
1553108_at	3.903
1553111_a_at	8.9456
1553112_s_at	4.0545
1553113_s_at	10.4681
1553114_a_at	8.4588
1553115_at	3.5206
1553117_a_at	5.5881
1553118_at	6.0177
1553120_at	2.587
1553122_s_at	4.9499
1553123_at	2.618
1553125_x_at	2.6397
1553126_a_at	2.7378
1553127_a_at	3.539
1553129_at	3.2559
1553130_at	3.4749
1553131_a_at	2.7774
1553132_a_at	6.6975
1553133_at	2.2836
1553134_s_at	2.7434
1553136_at	4.0365
1553137_s_at	3.3741
1553138_a_at	2.6761
1553139_s_at	2.8653
1553140_at	3.2073
1553141_at	3.698
1553142_at	4.8022
1553145_at	5.4695
1553146_at	2.5149
1553147_at	2.8115
1553148_a_at	2.9062
1553150_at	4.4369
1553151_at	3.0515
1553153_at	3.1245
1553155_x_at	2.7126
1553156_at	3.8085
1553157_at	2.7854
1553158_at	2.8252
1553159_at	3.4173
1553162_x_at	3.4584
1553163_at	3.0293
1553165_at	4.0792
1553166_at	2.2991
1553167_a_at	4.294
1553168_at	2.5727
1553169_at	2.1863
1553171_x_at	1.7058
1553172_at	4.1005
1553174_at	3.299
1553175_s_at	5.3517
1553176_at	2.2789
1553177_at	2.5415
1553178_a_at	2.0985
1553179_at	2.6864
1553180_at	2.1938
1553181_at	2.4822
1553183_at	2.2446
1553185_at	11.6622
1553186_x_at	10.2594
1553188_s_at	2.7246
1553190_s_at	3.5602
1553191_at	2.6304
1553192_at	2.7302
1553193_at	4.2766
1553194_at	3.2353
1553196_a_at	2.0903
1553197_at	2.8211
1553199_at	2.3663
1553202_at	3.6518
1553204_at	2.5003
1553205_at	2.9431
1553207_at	3.3832
1553208_s_at	4.7522
1553209_at	2.6289
1553211_at	3.3443
1553212_at	6.1574
1553213_a_at	3.7638
1553214_a_at	6.9964
1553215_s_at	4.0992
1553216_at	3.2133
1553217_s_at	3.2278
1553218_a_at	7.1433
1553219_a_at	2.6961
1553220_at	3.3522
1553221_at	2.5638
1553222_at	3.0002
1553224_at	2.9152
1553225_s_at	3.751
1553226_at	2.3654
1553227_s_at	6.67
1553228_at	4.1852
1553229_at	3.3765
1553232_at	4.0032
1553234_at	3.5282
1553235_at	2.6276
1553237_x_at	2.4931
1553238_a_at	3.0285
1553239_at	3.6857
1553241_at	2.5433
1553243_at	6.3493
1553244_at	2.9388
1553246_a_at	1.958
1553247_a_at	6.5711
1553248_at	3.318
1553249_at	3.747
1553252_a_at	7.7303
1553253_at	3.0394
1553254_at	2.3737
1553255_at	1.7869
1553257_at	2.6372
1553258_at	3.1448
1553260_s_at	3.2683
1553261_x_at	2.3494
1553262_a_at	2.9823
1553263_at	3.4778
1553264_a_at	2.8488
1553265_at	3.0013
1553266_at	2.2528
1553267_a_at	2.81
1553268_at	3.0874
1553269_at	8.3727
1553271_at	7.1458
1553272_at	2.6205
1553274_a_at	9.8036
1553275_s_at	6.1304
1553276_at	2.2079
1553277_at	2.3156
1553279_at	3.6088
1553280_at	2.8083
1553281_at	2.466
1553282_at	2.4343
1553284_s_at	2.7969
1553285_s_at	2.9004
1553286_at	5.573
1553288_a_at	4.3315
1553292_s_at	8.1351
1553293_at	2.4843
1553295_at	2.1629
1553296_at	2.7664
1553297_a_at	3.1025
1553298_at	2.1486
1553299_at	2.9626
1553300_a_at	2.5426
1553301_a_at	2.6294
1553303_at	2.7429
