ID_REF	VALUE
1553009_s_at	2.4208
1553011_at	2.5892
1553013_at	1.8484
1553015_a_at	3.6862
1553016_at	1.9215
1553019_at	2.4957
1553020_at	2.7898
1553021_s_at	2.8301
1553022_at	2.4345
1553023_a_at	3.4531
1553024_at	1.923
1553025_at	3.4672
1553027_a_at	2.5358
1553028_at	3.0456
1553030_a_at	5.3374
1553031_at	4.4305
1553032_at	1.7758
1553033_at	2.4336
1553034_at	4.9963
1553036_at	2.8819
1553037_a_at	4.2053
1553039_a_at	3.1652
1553041_at	2.645
1553042_a_at	3.2298
1553043_a_at	2.9253
1553044_at	2.0515
1553045_at	2.7819
1553046_s_at	3.101
1553047_at	3.2635
1553048_a_at	3.674
1553051_s_at	2.9797
1553052_at	2.9462
1553053_at	2.4101
1553055_a_at	3.7048
1553057_at	3.3615
1553058_at	3.1091
1553059_at	3.3513
1553060_at	2.634
1553061_at	2.2342
1553062_at	5.4493
1553063_at	2.994
1553064_at	3.6769
1553066_at	2.149
1553067_a_at	6.0198
1553069_at	2.6725
1553070_a_at	2.1341
1553071_a_at	2.8799
1553072_at	4.4305
1553074_at	2.2667
1553075_a_at	2.0676
1553076_at	2.362
1553077_at	5.2968
1553078_at	2.37
1553079_at	2.4282
1553080_at	2.2669
1553081_at	11.0942
1553082_at	2.863
1553083_at	1.8209
1553084_at	2.2453
1553086_at	2.1078
1553087_at	2.1496
1553088_a_at	2.4587
1553089_a_at	4.6705
1553093_a_at	2.6436
1553094_at	3.2748
1553096_s_at	3.8731
1553099_at	5.8784
1553101_a_at	7.1864
1553102_a_at	7.1481
1553103_at	10.2353
1553105_s_at	3.3493
1553106_at	5.2072
1553107_s_at	4.7061
1553108_at	4.3054
1553111_a_at	8.3855
1553112_s_at	4.234
1553113_s_at	10.4568
1553114_a_at	8.2535
1553115_at	3.4424
1553117_a_at	5.4748
1553118_at	5.3467
1553120_at	2.4449
1553122_s_at	4.9529
1553123_at	2.6925
1553125_x_at	2.507
1553126_a_at	2.7992
1553127_a_at	3.647
1553129_at	4.1028
1553130_at	3.1193
1553131_a_at	2.6943
1553132_a_at	8.358
1553133_at	2.9572
1553134_s_at	2.9414
1553136_at	3.9494
1553137_s_at	3.1101
1553138_a_at	2.6074
1553139_s_at	3.0971
1553140_at	3.6597
1553141_at	3.5852
1553142_at	6.0024
1553145_at	4.5459
1553146_at	2.3647
1553147_at	2.8036
1553148_a_at	3.0313
1553150_at	4.8652
1553151_at	2.8559
1553153_at	2.2033
1553155_x_at	2.4601
1553156_at	3.6805
1553157_at	2.741
1553158_at	2.6986
1553159_at	2.6134
1553162_x_at	3.289
1553163_at	3.2397
1553165_at	4.1014
1553166_at	1.9668
1553167_a_at	5.092
1553168_at	2.394
1553169_at	2.4254
1553171_x_at	1.9015
1553172_at	3.3199
1553174_at	3.3208
1553175_s_at	4.4759
1553176_at	2.2135
1553177_at	2.6885
1553178_a_at	2.1042
1553179_at	2.5218
1553180_at	2.2976
1553181_at	2.4657
1553183_at	2.3592
1553185_at	11.4387
1553186_x_at	10.0347
1553188_s_at	2.7049
